ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF23abhafym,SN2023tsw,05:13:15.66,+06:08:35.8,2225.96,r,18.0159,-18.95,18.878,9.598,9.28,SN Ia,0.05,-18.58885289,0.336
ZTF20actpatx,SN2020aaxo,23:02:26.46,+01:18:23.9,1189.65,g,18.0085,-19.59,28.215,9.015,19.2,SN Ia,0.06957,-51.317,0.159
ZTF21aaodljj,SN2021epq,08:36:28.82,+74:09:58.9,1293.66,g,17.6395,-19.22,24.184,9.013,15.171,SN Ia,0.053,33.10161851,0.043
ZTF18acbyyff,SN2018huz,01:57:55.93,-16:20:08.6,435.77,r,18.0672,-19.42,19.377,17.076,2.301,SN Ia,0.07,-71.19421129,0.074
ZTF19aaefxwq,SN2019ajb,06:17:43.45,-13:53:58.9,507.75,r,18.7745,-19.22,37.47,6.976,30.494,SN Ia,0.0653,-13.66044062,0.873
ZTF20abatows,SN2020ksl,16:14:07.76,+30:02:29.9,1000.91,g,18.8917,-19.29,21.398,7.389,14.009,SN Ia,0.09436,45.76931287,0.084
ZTF21achqiue,SN2021abmy,23:40:30.16,+12:55:53.4,1512.69,g,16.7159,-18.90,22.769,3.751,19.018,SN Ia,0.028,-46.39854969,0.167
ZTF20aayvubx,SN2020jnr,13:24:07.35,+62:25:37.9,994.76,g,17.0258,-19.30,25.592,10.671,14.921,SN Ia,0.041,54.2886193,0.061
ZTF21aagmqic,SN2021bou,06:26:02.98,+86:41:25.7,1260.7,g,17.7186,-19.60,24.255,9.523,14.732,SN Ia,0.055,26.71458136,0.356
ZTF19aalafip,SN2019bis,12:04:30.81,+23:51:25.8,557.77,r,18.4512,-19.54,29.717,12.903,16.814,SN Ia,0.088,78.92290314,0.074
ZTF22abwuaru,SN2022abiv,11:46:57.20,-03:38:39.8,1915.03,r,18.1201,-18.67,22.652,7.229,15.423,SN Ia,0.051,55.5152457,0.081
